Timestamp,What is your age?,Which social media platform/s do you like the most or use the most?,How much time do you spend on social media in a day?,How much time do you spend on physical activities in a day?,How much do you feel that you are exposed to inappropriate content on these platforms (out of 10)?,Have you ever been a victim of any of these cyber crimes?,Which type of communication do you generally prefer?,,,,,,
2/3/2018 17:13:01,19,"Whatsapp, Facebook, Instagram",upto 4 hrs,less than 1 hr,3,Fake profiles,through phone,,,,,,
2/3/2018 17:18:50,19,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,less than 1 hr,5,Photos being misused,Text message,,,,,,
2/3/2018 17:35:25,19,"Whatsapp, Facebook, Instagram",upto 4 hrs,less than 1 hr,5,Hacking,through phone,,,,,,
2/3/2018 17:44:30,19,"Whatsapp, Facebook, Youtube, Twitter",1 - 2.5 hrs,less than 1 hr,2,None of the above,face to face,,,,,,
2/3/2018 17:46:11,18,"Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,3,None of the above,Text message,,,,,,
2/3/2018 17:48:13,19,"Whatsapp, Youtube, Instagram",upto 4 hrs,none,6,Photos being misused,"face to face, Text message",,,,,,
2/3/2018 17:50:08,19,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Snapchat",1 - 2.5 hrs,1 - 2.5 hrs,8,Fake profiles,face to face,,,,,,
2/3/2018 17:50:30,20,"Facebook, Twitter",more than 4 hrs,1 - 2.5 hrs,4,None of the above,through phone,,,,,,
2/3/2018 17:50:33,19,"Whatsapp, Youtube, Instagram, Hike",upto 4 hrs,less than 1 hr,7,Fake profiles,through phone,,,,,,
2/3/2018 17:51:10,19,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,10,None of the above,face to face,,,,,,
2/3/2018 17:51:18,19,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,10,None of the above,face to face,,,,,,
2/3/2018 17:51:35,18,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,5,"Photos being misused, Fake profiles","face to face, through phone, through social media",,,,,,
2/3/2018 17:51:46,20,Whatsapp,less than 1 hr,1 - 2.5 hrs,1,None of the above,face to face,,,,,,
2/3/2018 17:52:47,19,"Whatsapp, Facebook, Instagram",more than 4 hrs,more than 4 hrs,4,Fake profiles,face to face,,,,,,
2/3/2018 17:54:54,19,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,4,None of the above,"face to face, Text message",,,,,,
2/3/2018 17:55:30,19,"Whatsapp, Instagram",1 - 2.5 hrs,less than 1 hr,5,None of the above,face to face,,,,,,
2/3/2018 17:57:57,19,Youtube,1 - 2.5 hrs,less than 1 hr,7,None of the above,"face to face, through phone",,,,,,
2/3/2018 17:58:45,19,"Whatsapp, Instagram",upto 4 hrs,1 - 2.5 hrs,6,None of the above,face to face,,,,,,
2/3/2018 17:59:04,19,"Whatsapp, Facebook, Youtube",upto 4 hrs,none,7,None of the above,face to face,,,,,,
2/3/2018 18:01:28,19,"Whatsapp, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,4,"Hacking, Photos being misused","face to face, through phone, Text message",,,,,,
2/3/2018 18:03:15,19,Instagram,1 - 2.5 hrs,less than 1 hr,6,Fake profiles,face to face,,,,,,
2/3/2018 18:03:26,19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat, Tinder",more than 4 hrs,less than 1 hr,0,"Fake profiles, None of the above",face to face,,,,,,
2/3/2018 18:03:36,19,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,6,None of the above,"face to face, through phone",,,,,,
2/3/2018 18:04:12,21,Snapchat,1 - 2.5 hrs,1 - 2.5 hrs,0,None of the above,Text message,,,,,,
2/3/2018 18:04:32,19,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Snapchat, Hike, Tinder",1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 18:04:47,19,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,8,None of the above,face to face,,,,,,
2/3/2018 18:05:34,19,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:05:49,19,"Whatsapp, Youtube, Instagram, Snapchat",1 - 2.5 hrs,none,7,Fake profiles,face to face,,,,,,
2/3/2018 18:05:52,19,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,5,Fake profiles,"face to face, through phone",,,,,,
2/3/2018 18:05:59,19,"Whatsapp, Facebook, Youtube, Twitter",upto 4 hrs,less than 1 hr,9,None of the above,face to face,,,,,,
2/3/2018 18:06:20,19,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,less than 1 hr,0,None of the above,"face to face, through social media",,,,,,
2/3/2018 18:08:08,18,Instagram,less than 1 hr,less than 1 hr,8,None of the above,face to face,,,,,,
2/3/2018 18:08:45,19,Instagram,1 - 2.5 hrs,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 18:08:48,18,"Whatsapp, Facebook, Youtube",1 - 2.5 hrs,less than 1 hr,7,None of the above,face to face,,,,,,
2/3/2018 18:09:56,18,Snapchat,1 - 2.5 hrs,1 - 2.5 hrs,1,None of the above,face to face,,,,,,
2/3/2018 18:10:31,19,"Whatsapp, Instagram, Snapchat",1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 18:10:35,19,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 18:11:11,19,"Whatsapp, Youtube",1 - 2.5 hrs,1 - 2.5 hrs,1,None of the above,"face to face, through phone",,,,,,
2/3/2018 18:11:31,18,Whatsapp,1 - 2.5 hrs,none,6,None of the above,through social media,,,,,,
2/3/2018 18:11:37,18,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,6,Hacking,"face to face, through phone",,,,,,
2/3/2018 18:11:57,19,"Whatsapp, Facebook, Instagram, Snapchat",less than 1 hr,upto 4 hrs,5,None of the above,"face to face, Text message",,,,,,
2/3/2018 18:12:24,18,Instagram,less than 1 hr,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 18:12:52,19,Youtube,upto 4 hrs,less than 1 hr,3,None of the above,face to face,,,,,,
2/3/2018 18:13:12,18,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,3,None of the above,Text message,,,,,,
2/3/2018 18:13:29,19,"Whatsapp, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,0,None of the above,face to face,,,,,,
2/3/2018 18:13:41,19,"Whatsapp, Youtube, Instagram",upto 4 hrs,less than 1 hr,6,None of the above,face to face,,,,,,
2/3/2018 18:14:13,18,Whatsapp,1 - 2.5 hrs,none,0,None of the above,face to face,,,,,,
2/3/2018 18:15:28,19,Youtube,upto 4 hrs,less than 1 hr,2,None of the above,face to face,,,,,,
2/3/2018 18:15:37,18,Whatsapp,upto 4 hrs,less than 1 hr,0,None of the above,"face to face, through social media",,,,,,
2/3/2018 18:15:39,21,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,9,Fake profiles,"face to face, through social media",,,,,,
2/3/2018 18:15:48,19,"Whatsapp, Facebook, Instagram, Hike",less than 1 hr,less than 1 hr,9,Fake profiles,face to face,,,,,,
2/3/2018 18:15:54,19,"Whatsapp, Facebook, Instagram, Hike",less than 1 hr,less than 1 hr,9,Fake profiles,face to face,,,,,,
2/3/2018 18:16:30,18,Youtube,more than 4 hrs,1 - 2.5 hrs,3,Hacking,"face to face, through phone",,,,,,
2/3/2018 18:17:05,19,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Snapchat, Hike",more than 4 hrs,none,0,None of the above,face to face,,,,,,
2/3/2018 18:17:09,19,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 18:17:17,18,"Whatsapp, Youtube, Instagram",less than 1 hr,1 - 2.5 hrs,0,None of the above,"face to face, through phone",,,,,,
2/3/2018 18:17:19,21,"Facebook, Youtube, Instagram",upto 4 hrs,less than 1 hr,3,None of the above,"Text message, through social media",,,,,,
2/3/2018 18:17:36,20,Instagram,upto 4 hrs,none,7,None of the above,Text message,,,,,,
2/3/2018 18:17:39,20,"Whatsapp, Instagram",more than 4 hrs,less than 1 hr,3,None of the above,face to face,,,,,,
2/3/2018 18:17:44,17,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 18:17:52,18,"Whatsapp, Instagram",upto 4 hrs,1 - 2.5 hrs,10,Fake profiles,face to face,,,,,,
2/3/2018 18:17:56,20,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,9,None of the above,through phone,,,,,,
2/3/2018 18:18:10,18,"Whatsapp, Instagram",1 - 2.5 hrs,less than 1 hr,2,None of the above,Text message,,,,,,
2/3/2018 18:18:11,18,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,1 - 2.5 hrs,9,None of the above,through phone,,,,,,
2/3/2018 18:18:15,18,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",1 - 2.5 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 18:20:31,20,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,less than 1 hr,3,None of the above,through social media,,,,,,
2/3/2018 18:20:32,19,Instagram,more than 4 hrs,none,8,Fake profiles,"face to face, through social media",,,,,,
2/3/2018 18:20:43,19,Instagram,less than 1 hr,less than 1 hr,4,None of the above,Text message,,,,,,
2/3/2018 18:20:56,19,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 18:21:29,20,Youtube,less than 1 hr,upto 4 hrs,0,None of the above,face to face,,,,,,
2/3/2018 18:22:16,21,"Whatsapp, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,7,None of the above,"face to face, through phone",,,,,,
2/3/2018 18:22:20,18,Twitter,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:22:33,19,Facebook,more than 4 hrs,none,7,None of the above,face to face,,,,,,
2/3/2018 18:22:36,19,"Whatsapp, Facebook",more than 4 hrs,upto 4 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:22:49,19,"Whatsapp, Instagram",upto 4 hrs,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 18:23:14,19,Whatsapp,1 - 2.5 hrs,less than 1 hr,5,None of the above,through phone,,,,,,
2/3/2018 18:24:07,19,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,7,Fake profiles,face to face,,,,,,
2/3/2018 18:24:53,19,Youtube,more than 4 hrs,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 18:24:59,19,"Whatsapp, Facebook, Youtube, Instagram",less than 1 hr,upto 4 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:26:06,19,"Whatsapp, Youtube, Instagram, Snapchat",more than 4 hrs,more than 4 hrs,5,None of the above,"face to face, through phone, through social media",,,,,,
2/3/2018 18:26:22,18,Facebook,upto 4 hrs,1 - 2.5 hrs,5,None of the above,through social media,,,,,,
2/3/2018 18:26:55,19,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,6,Photos being misused,face to face,,,,,,
2/3/2018 18:27:05,19,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,7,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 18:27:22,19,"Whatsapp, Hike",more than 4 hrs,less than 1 hr,5,None of the above,face to face,,,,,,
2/3/2018 18:28:34,19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",less than 1 hr,1 - 2.5 hrs,4,None of the above,face to face,,,,,,
2/3/2018 18:28:41,18,Whatsapp,less than 1 hr,less than 1 hr,1,None of the above,face to face,,,,,,
2/3/2018 18:28:57,20,"Whatsapp, Youtube",less than 1 hr,1 - 2.5 hrs,6,None of the above,Text message,,,,,,
2/3/2018 18:29:10,18,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Hike",1 - 2.5 hrs,1 - 2.5 hrs,4,None of the above,through social media,,,,,,
2/3/2018 18:29:49,20,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,4,None of the above,face to face,,,,,,
2/3/2018 18:30:05,18,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",upto 4 hrs,less than 1 hr,5,Hacking,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 18:30:07,18,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,0,None of the above,face to face,,,,,,
2/3/2018 18:30:24,19,Snapchat,1 - 2.5 hrs,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 18:31:27,19,Whatsapp,upto 4 hrs,upto 4 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:31:36,19,"Whatsapp, Facebook, Youtube, Instagram, Hike",1 - 2.5 hrs,less than 1 hr,7,None of the above,face to face,,,,,,
2/3/2018 18:33:27,20,"Whatsapp, Youtube, Twitter",1 - 2.5 hrs,less than 1 hr,5,None of the above,"face to face, through phone",,,,,,
2/3/2018 18:33:41,20,Whatsapp,less than 1 hr,1 - 2.5 hrs,3,Fake profiles,face to face,,,,,,
2/3/2018 18:34:29,18,"Whatsapp, Twitter, Snapchat",1 - 2.5 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 18:35:10,19,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,8,None of the above,face to face,,,,,,
2/3/2018 18:35:19,20,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",more than 4 hrs,less than 1 hr,6,None of the above,face to face,,,,,,
2/3/2018 18:35:40,19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat, Tinder",upto 4 hrs,less than 1 hr,2,Fake profiles,"face to face, through phone, Text message",,,,,,
2/3/2018 18:36:40,19,"Whatsapp, Facebook, Instagram, Snapchat",1 - 2.5 hrs,less than 1 hr,3,None of the above,face to face,,,,,,
2/3/2018 18:37:52,18,Whatsapp,1 - 2.5 hrs,none,3,None of the above,face to face,,,,,,
2/3/2018 18:37:54,20,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 18:39:38,18,Snapchat,1 - 2.5 hrs,less than 1 hr,3,None of the above,face to face,,,,,,
2/3/2018 18:41:04,19,"Whatsapp, Youtube, Instagram, Snapchat, Hike",upto 4 hrs,less than 1 hr,1,None of the above,face to face,,,,,,
2/3/2018 18:41:31,19,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,6,None of the above,"face to face, through phone",,,,,,
2/3/2018 18:42:26,20,"Whatsapp, Facebook, Youtube",1 - 2.5 hrs,less than 1 hr,5,None of the above,face to face,,,,,,
2/3/2018 18:44:15,19,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 18:45:50,18,Whatsapp,1 - 2.5 hrs,less than 1 hr,7,None of the above,face to face,,,,,,
2/3/2018 18:46:16,18,"Whatsapp, Facebook, Instagram",less than 1 hr,none,2,None of the above,face to face,,,,,,
2/3/2018 18:46:56,22,"Whatsapp, Facebook, Youtube",1 - 2.5 hrs,1 - 2.5 hrs,10,None of the above,through phone,,,,,,
2/3/2018 18:47:13,21,Whatsapp,less than 1 hr,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 18:48:20,19,Snapchat,upto 4 hrs,less than 1 hr,7,None of the above,through social media,,,,,,
2/3/2018 18:48:29,19,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:48:42,19,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/3/2018 18:49:03,19,"Whatsapp, Instagram",less than 1 hr,less than 1 hr,1,None of the above,through phone,,,,,,
2/3/2018 18:49:47,18,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,none,7,None of the above,through phone,,,,,,
2/3/2018 18:49:57,17,Whatsapp,less than 1 hr,1 - 2.5 hrs,0,None of the above,face to face,,,,,,
2/3/2018 18:50:04,17,Youtube,1 - 2.5 hrs,less than 1 hr,5,None of the above,face to face,,,,,,
2/3/2018 18:50:04,18,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,7,None of the above,through phone,,,,,,
2/3/2018 18:50:53,19,Facebook,less than 1 hr,none,0,None of the above,face to face,,,,,,
2/3/2018 18:51:04,18,"Whatsapp, Facebook, Instagram",more than 4 hrs,none,0,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 18:51:32,18,Whatsapp,less than 1 hr,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 18:51:48,19,"Whatsapp, Facebook, Instagram, Snapchat, Hike",less than 1 hr,1 - 2.5 hrs,4,None of the above,Text message,,,,,,
2/3/2018 18:52:08,18,"Whatsapp, Facebook, Youtube, Twitter, Instagram",upto 4 hrs,less than 1 hr,7,None of the above,"face to face, through phone, Text message",,,,,,
2/3/2018 18:52:36,18,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,none,4,None of the above,"Text message, through social media",,,,,,
2/3/2018 18:53:11,18,"Whatsapp, Youtube, Instagram",upto 4 hrs,less than 1 hr,6,None of the above,face to face,,,,,,
2/3/2018 18:53:27,20,Youtube,more than 4 hrs,none,7,None of the above,through phone,,,,,,
2/3/2018 18:54:22,19,Instagram,1 - 2.5 hrs,less than 1 hr,5,None of the above,"through phone, through social media",,,,,,
2/3/2018 18:54:32,19,Twitter,1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 18:54:58,18,Whatsapp,less than 1 hr,1 - 2.5 hrs,7,None of the above,face to face,,,,,,
2/3/2018 18:55:19,20,Youtube,more than 4 hrs,1 - 2.5 hrs,7,None of the above,face to face,,,,,,
2/3/2018 18:55:35,19,"Whatsapp, Youtube, Instagram, Hike",upto 4 hrs,less than 1 hr,6,Hacking,through social media,,,,,,
2/3/2018 18:56:45,19,"Whatsapp, Instagram, Snapchat",upto 4 hrs,none,4,None of the above,face to face,,,,,,
2/3/2018 18:59:45,18,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Snapchat, Hike",upto 4 hrs,none,8,Hacking,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:03:28,19,"Whatsapp, Facebook, Instagram",upto 4 hrs,1 - 2.5 hrs,2,None of the above,"face to face, through social media",,,,,,
2/3/2018 19:03:40,20,"Whatsapp, Facebook, Youtube, Instagram, Hike",more than 4 hrs,none,3,None of the above,through social media,,,,,,
2/3/2018 19:03:44,18,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,less than 1 hr,2,None of the above,"Text message, through social media",,,,,,
2/3/2018 19:05:25,19,"Whatsapp, Youtube, Instagram, Snapchat",1 - 2.5 hrs,none,5,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:06:52,18,Whatsapp,1 - 2.5 hrs,less than 1 hr,3,None of the above,face to face,,,,,,
2/3/2018 19:07:26,19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",1 - 2.5 hrs,upto 4 hrs,7,None of the above,face to face,,,,,,
2/3/2018 19:08:21,19,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,7,None of the above,"face to face, through phone",,,,,,
2/3/2018 19:09:57,18,"Whatsapp, Facebook, Youtube, Hike",1 - 2.5 hrs,less than 1 hr,5,None of the above,Text message,,,,,,
2/3/2018 19:10:27,18,"Whatsapp, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
