Timestamp,What is your age?,Which social media platform/s do you like the most or use the most?,How much time do you spend on social media in a day?,How much time do you spend on physical activities in a day?,How much do you feel that you are exposed to inappropriate content on these platforms (out of 10)?,Have you ever been a victim of any of these cyber crimes?,Which type of communication do you generally prefer?,,,,,,
2/3/2018 19:10:32,19,"Whatsapp, Facebook, Youtube",less than 1 hr,less than 1 hr,0,None of the above,face to face,,,,,,
2/3/2018 19:10:34,19,"Whatsapp, Youtube",upto 4 hrs,less than 1 hr,7,Fake profiles,"face to face, through phone",,,,,,
2/3/2018 19:11:51,18,"Whatsapp, Facebook",1 - 2.5 hrs,upto 4 hrs,6,None of the above,"face to face, through social media",,,,,,
2/3/2018 19:12:17,19,"Whatsapp, Facebook, Youtube",more than 4 hrs,less than 1 hr,7,None of the above,through social media,,,,,,
2/3/2018 19:12:44,18,Whatsapp,more than 4 hrs,less than 1 hr,7,None of the above,Text message,,,,,,
2/3/2018 19:13:58,18,Whatsapp,more than 4 hrs,upto 4 hrs,5,None of the above,Text message,,,,,,
2/3/2018 19:17:00,18,Whatsapp,1 - 2.5 hrs,none,6,None of the above,Text message,,,,,,
2/3/2018 19:17:05,18,"Whatsapp, Facebook, Youtube, Twitter, Instagram",upto 4 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 19:17:13,18,"Whatsapp, Facebook, Youtube, Instagram, Snapchat, Hike",upto 4 hrs,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 19:18:45,19,"Whatsapp, Facebook, Youtube",less than 1 hr,less than 1 hr,3,None of the above,"face to face, through phone, Text message",,,,,,
2/3/2018 19:19:23,23,"Whatsapp, Facebook",upto 4 hrs,1 - 2.5 hrs,2,Photos being misused,through social media,,,,,,
2/3/2018 19:19:47,19,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,less than 1 hr,6,None of the above,face to face,,,,,,
2/3/2018 19:20:32,19,"Facebook, Youtube",less than 1 hr,less than 1 hr,0,None of the above,"face to face, Text message",,,,,,
2/3/2018 19:21:31,19,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,through phone,,,,,,
2/3/2018 19:21:37,21,Instagram,1 - 2.5 hrs,upto 4 hrs,8,None of the above,"face to face, through phone, Text message",,,,,,
2/3/2018 19:22:36,18,"Whatsapp, Facebook, Youtube",more than 4 hrs,less than 1 hr,7,None of the above,"face to face, through phone, through social media",,,,,,
2/3/2018 19:22:37,18,"Whatsapp, Facebook, Youtube, Instagram, Snapchat, Hike",more than 4 hrs,less than 1 hr,6,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:23:15,18,Whatsapp,upto 4 hrs,less than 1 hr,8,None of the above,face to face,,,,,,
2/3/2018 19:24:03,18,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,none,2,Fake profiles,face to face,,,,,,
2/3/2018 19:25:23,18,"Whatsapp, Youtube",less than 1 hr,none,5,None of the above,face to face,,,,,,
2/3/2018 19:25:25,18,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,7,Hacking,Text message,,,,,,
2/3/2018 19:26:00,21,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,3,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:27:41,20,Facebook,1 - 2.5 hrs,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 19:28:56,19,Whatsapp,1 - 2.5 hrs,less than 1 hr,4,None of the above,Text message,,,,,,
2/3/2018 19:32:57,21,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,6,None of the above,"face to face, through social media",,,,,,
2/3/2018 19:33:36,18,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,10,None of the above,through social media,,,,,,
2/3/2018 19:34:23,19,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,5,Fake profiles,through phone,,,,,,
2/3/2018 19:34:27,19,Whatsapp,upto 4 hrs,none,0,None of the above,face to face,,,,,,
2/3/2018 19:36:01,16,Youtube,less than 1 hr,1 - 2.5 hrs,2,None of the above,through phone,,,,,,
2/3/2018 19:39:50,17,"Whatsapp, Facebook, Instagram, Snapchat",upto 4 hrs,1 - 2.5 hrs,4,None of the above,through phone,,,,,,
2/3/2018 19:41:31,19,"Facebook, Youtube",less than 1 hr,none,0,None of the above,through social media,,,,,,
2/3/2018 19:42:00,18,"Whatsapp, Youtube, Instagram",less than 1 hr,none,6,None of the above,"face to face, Text message",,,,,,
2/3/2018 19:42:21,18,Instagram,less than 1 hr,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 19:43:53,18,"Whatsapp, Facebook",upto 4 hrs,less than 1 hr,3,None of the above,"face to face, Text message",,,,,,
2/3/2018 19:44:14,18,"Whatsapp, Facebook, Youtube",upto 4 hrs,1 - 2.5 hrs,2,None of the above,"face to face, through phone, through social media",,,,,,
2/3/2018 19:45:32,18,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,4,None of the above,"face to face, through phone",,,,,,
2/3/2018 19:49:08,20,"Whatsapp, Youtube, Instagram",more than 4 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 19:49:31,22,"Facebook, Youtube",more than 4 hrs,1 - 2.5 hrs,4,None of the above,Text message,,,,,,
2/3/2018 19:51:57,21,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,none,9,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:52:30,19,Instagram,less than 1 hr,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 19:53:46,17,Instagram,1 - 2.5 hrs,less than 1 hr,0,None of the above,"face to face, Text message",,,,,,
2/3/2018 19:56:09,21,Instagram,more than 4 hrs,1 - 2.5 hrs,6,Hacking,Text message,,,,,,
2/3/2018 19:57:12,20,Whatsapp,1 - 2.5 hrs,more than 4 hrs,7,Photos being misused,Text message,,,,,,
2/3/2018 19:59:27,21,"Whatsapp, Facebook, Youtube, Twitter, Instagram",less than 1 hr,less than 1 hr,9,Fake profiles,face to face,,,,,,
2/3/2018 20:01:03,18,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,7,Fake profiles,Text message,,,,,,
2/3/2018 20:01:08,19,Whatsapp,less than 1 hr,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 20:01:08,19,"Whatsapp, Instagram",1 - 2.5 hrs,less than 1 hr,3,None of the above,face to face,,,,,,
2/3/2018 20:02:57,18,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,upto 4 hrs,10,Hacking,Text message,,,,,,
2/3/2018 20:03:48,19,"Whatsapp, Youtube, Instagram",upto 4 hrs,none,3,None of the above,face to face,,,,,,
2/3/2018 20:03:51,19,Whatsapp,none,less than 1 hr,7,"Fake profiles, None of the above",face to face,,,,,,
2/3/2018 20:05:54,22,Facebook,more than 4 hrs,none,7,"Photos being misused, Fake profiles",through social media,,,,,,
2/3/2018 20:08:54,20,Youtube,upto 4 hrs,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 20:19:19,14,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,upto 4 hrs,0,None of the above,through social media,,,,,,
2/3/2018 20:23:45,23,"Whatsapp, Facebook",less than 1 hr,less than 1 hr,8,Fake profiles,"face to face, through phone",,,,,,
2/3/2018 20:25:17,19,Youtube,more than 4 hrs,less than 1 hr,1,None of the above,face to face,,,,,,
2/3/2018 20:25:41,16,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,none,9,None of the above,"Text message, through social media",,,,,,
2/3/2018 20:25:55,18,"Whatsapp, Instagram, Snapchat",less than 1 hr,1 - 2.5 hrs,2,"Hacking, Photos being misused, Fake profiles",face to face,,,,,,
2/3/2018 20:35:32,19,"Whatsapp, Facebook, Instagram",more than 4 hrs,less than 1 hr,4,None of the above,Text message,,,,,,
2/3/2018 20:36:04,18,"Youtube, Twitter",1 - 2.5 hrs,none,0,None of the above,Text message,,,,,,
2/3/2018 20:37:42,23,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Snapchat",1 - 2.5 hrs,less than 1 hr,0,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 20:44:07,19,Facebook,upto 4 hrs,1 - 2.5 hrs,4,None of the above,through social media,,,,,,
2/3/2018 20:48:17,23,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,5,None of the above,"face to face, through phone",,,,,,
2/3/2018 20:55:26,20,Snapchat,more than 4 hrs,less than 1 hr,1,Hacking,Text message,,,,,,
2/3/2018 21:00:56,18,"Youtube, Instagram, Snapchat",upto 4 hrs,none,6,None of the above,through social media,,,,,,
2/3/2018 21:09:10,14,"Facebook, Youtube, Instagram, Snapchat",1 - 2.5 hrs,less than 1 hr,6,None of the above,Text message,,,,,,
2/3/2018 21:11:18,19,"Whatsapp, Instagram, Snapchat",more than 4 hrs,1 - 2.5 hrs,1,Fake profiles,"face to face, through phone",,,,,,
2/3/2018 21:13:19,23,Facebook,1 - 2.5 hrs,more than 4 hrs,0,None of the above,through social media,,,,,,
2/3/2018 21:27:22,19,Whatsapp,less than 1 hr,1 - 2.5 hrs,1,None of the above,"face to face, through phone",,,,,,
2/3/2018 21:28:49,19,"Whatsapp, Facebook, Youtube, Hike, Tinder",upto 4 hrs,1 - 2.5 hrs,0,None of the above,Text message,,,,,,
2/3/2018 21:31:12,20,"Facebook, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,"face to face, through phone",,,,,,
2/3/2018 21:36:30,23,"Whatsapp, Facebook, Youtube, Twitter, Instagram",1 - 2.5 hrs,less than 1 hr,8,"Hacking, Photos being misused, Fake profiles","face to face, through phone",,,,,,
2/3/2018 21:48:15,18,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,0,None of the above,"face to face, through phone",,,,,,
2/3/2018 21:54:40,19,"Whatsapp, Facebook, Youtube, Instagram, Hike",upto 4 hrs,1 - 2.5 hrs,9,None of the above,"face to face, through phone",,,,,,
2/3/2018 22:01:51,18,"Whatsapp, Facebook, Youtube",more than 4 hrs,less than 1 hr,1,None of the above,through social media,,,,,,
2/3/2018 22:03:21,18,"Whatsapp, Instagram",less than 1 hr,upto 4 hrs,7,None of the above,face to face,,,,,,
2/3/2018 22:04:02,19,"Whatsapp, Facebook, Youtube, Twitter, Instagram, Hike",1 - 2.5 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 22:04:09,19,Whatsapp,upto 4 hrs,none,6,None of the above,face to face,,,,,,
2/3/2018 22:04:49,19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",more than 4 hrs,none,8,"Hacking, Fake profiles","face to face, through phone",,,,,,
2/3/2018 22:10:17,19,"Whatsapp, Facebook, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,1,None of the above,"face to face, through phone",,,,,,
2/3/2018 22:14:30,18,Youtube,1 - 2.5 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/3/2018 22:18:14,19,Facebook,more than 4 hrs,none,6,None of the above,through phone,,,,,,
2/3/2018 22:18:31,18,"Whatsapp, Youtube, Twitter, Instagram",upto 4 hrs,less than 1 hr,3,Hacking,"face to face, through phone, through social media",,,,,,
2/3/2018 22:26:08,18,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 22:29:07,18,"Whatsapp, Facebook, Youtube, Snapchat",less than 1 hr,less than 1 hr,5,Fake profiles,through social media,,,,,,
2/3/2018 22:49:21,18,"Whatsapp, Youtube, Instagram",less than 1 hr,1 - 2.5 hrs,0,None of the above,"face to face, through phone",,,,,,
2/3/2018 23:22:12,23,"Facebook, Youtube",1 - 2.5 hrs,less than 1 hr,5,None of the above,Text message,,,,,,
2/3/2018 23:24:05,22,Twitter,less than 1 hr,upto 4 hrs,1,None of the above,face to face,,,,,,
2/3/2018 23:26:34,19,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,2,Fake profiles,face to face,,,,,,
2/3/2018 23:29:40,21,"Whatsapp, Facebook, Youtube",1 - 2.5 hrs,less than 1 hr,5,Fake profiles,face to face,,,,,,
2/4/2018 0:40:33,19,"Whatsapp, Facebook, Instagram, Snapchat",upto 4 hrs,less than 1 hr,5,Hacking,face to face,,,,,,
2/4/2018 0:56:18,19,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,less than 1 hr,2,None of the above,face to face,,,,,,
2/4/2018 1:55:08,18,"Instagram, Snapchat",1 - 2.5 hrs,1 - 2.5 hrs,1,None of the above,Text message,,,,,,
2/4/2018 3:17:18,19,"Whatsapp, Instagram",more than 4 hrs,1 - 2.5 hrs,5,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/4/2018 7:52:11,19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat, Hike",more than 4 hrs,1 - 2.5 hrs,3,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/4/2018 7:53:48,19,Youtube,1 - 2.5 hrs,none,0,None of the above,face to face,,,,,,
2/4/2018 7:58:13,19,"Youtube, Twitter",less than 1 hr,more than 4 hrs,0,Fake profiles,"face to face, through phone, Text message",,,,,,
2/4/2018 8:15:40,20,"Facebook, Youtube, Instagram",1 - 2.5 hrs,upto 4 hrs,0,None of the above,face to face,,,,,,
2/4/2018 8:16:33,20,Youtube,upto 4 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/4/2018 8:27:04,20,"Facebook, Youtube, Instagram",more than 4 hrs,none,9,None of the above,face to face,,,,,,
2/4/2018 8:57:00,19,Instagram,less than 1 hr,1 - 2.5 hrs,6,None of the above,Text message,,,,,,
2/4/2018 8:57:41,19,"Youtube, Twitter, Instagram, Snapchat",upto 4 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/4/2018 9:05:51,18,Whatsapp,1 - 2.5 hrs,less than 1 hr,8,None of the above,face to face,,,,,,
2/4/2018 9:09:09,20,Youtube,upto 4 hrs,less than 1 hr,4,None of the above,through phone,,,,,,
2/4/2018 9:40:32,20,Facebook,1 - 2.5 hrs,1 - 2.5 hrs,1,None of the above,Text message,,,,,,
2/4/2018 10:14:53,19,Instagram,upto 4 hrs,upto 4 hrs,8,None of the above,face to face,,,,,,
2/4/2018 10:48:17,18,"Whatsapp, Facebook, Youtube, Twitter, Instagram",upto 4 hrs,none,3,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/4/2018 11:15:29,18,Instagram,more than 4 hrs,less than 1 hr,2,Fake profiles,face to face,,,,,,
2/4/2018 11:41:07,20,"Whatsapp, Facebook, Youtube",1 - 2.5 hrs,less than 1 hr,6,Hacking,face to face,,,,,,
2/4/2018 11:47:55,18,"Whatsapp, Youtube",1 - 2.5 hrs,1 - 2.5 hrs,4,None of the above,face to face,,,,,,
2/4/2018 11:57:56,19,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,1 - 2.5 hrs,6,None of the above,face to face,,,,,,
2/4/2018 12:10:54,19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",more than 4 hrs,1 - 2.5 hrs,5,None of the above,face to face,,,,,,
2/4/2018 12:11:14,19,"Whatsapp, Youtube, Instagram, Snapchat",1 - 2.5 hrs,less than 1 hr,4,Fake profiles,face to face,,,,,,
2/4/2018 12:13:29,19,Whatsapp,less than 1 hr,1 - 2.5 hrs,10,"Hacking, Fake profiles",Text message,,,,,,
2/4/2018 12:15:16,19,"Whatsapp, Youtube",1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,"face to face, Text message",,,,,,
2/4/2018 12:15:55,19,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,less than 1 hr,4,Fake profiles,"face to face, through phone, Text message",,,,,,
2/4/2018 12:15:58,20,"Whatsapp, Instagram, Snapchat, Hike, Tinder",upto 4 hrs,none,7,None of the above,"face to face, through phone",,,,,,
2/4/2018 12:17:13,19,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,none,6,None of the above,through social media,,,,,,
2/4/2018 12:28:57,20,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,5,None of the above,"face to face, through phone",,,,,,
2/4/2018 12:32:11,19,"Whatsapp, Facebook, Youtube, Instagram, Tinder",more than 4 hrs,1 - 2.5 hrs,4,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/4/2018 12:38:44,20,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",1 - 2.5 hrs,1 - 2.5 hrs,4,Fake profiles,Text message,,,,,,
2/4/2018 12:41:35,19,Instagram,less than 1 hr,1 - 2.5 hrs,8,None of the above,face to face,,,,,,
2/4/2018 12:42:50,19,"Whatsapp, Youtube, Twitter, Instagram",upto 4 hrs,less than 1 hr,3,Fake profiles,face to face,,,,,,
2/4/2018 12:55:36,20,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,none,0,None of the above,through social media,,,,,,
2/4/2018 13:19:30,19,"Whatsapp, Youtube, Snapchat",more than 4 hrs,none,1,None of the above,through phone,,,,,,
2/4/2018 13:28:51,19,"Whatsapp, Facebook, Youtube, Twitter, Instagram",upto 4 hrs,more than 4 hrs,3,Fake profiles,"face to face, through phone, Text message, through social media",,,,,,
2/4/2018 13:30:50,19,"Whatsapp, Youtube",upto 4 hrs,less than 1 hr,6,Photos being misused,face to face,,,,,,
2/4/2018 13:44:36,19,"Whatsapp, Youtube, Instagram",less than 1 hr,1 - 2.5 hrs,6,None of the above,face to face,,,,,,
2/4/2018 14:08:59,15,"Facebook, Youtube",1 - 2.5 hrs,1 - 2.5 hrs,0,None of the above,"face to face, through phone",,,,,,
2/4/2018 15:14:21,20,Youtube,1 - 2.5 hrs,upto 4 hrs,0,Fake profiles,Text message,,,,,,
2/4/2018 15:15:04,18,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/4/2018 15:17:56,18,Facebook,1 - 2.5 hrs,less than 1 hr,2,None of the above,Text message,,,,,,
2/4/2018 16:45:15,19,"Whatsapp, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,4,Fake profiles,"face to face, through phone",,,,,,
2/4/2018 17:08:04,20,Instagram,1 - 2.5 hrs,upto 4 hrs,0,None of the above,face to face,,,,,,
2/4/2018 17:48:39,19,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,3,Fake profiles,face to face,,,,,,
2/4/2018 17:54:08,19,Youtube,1 - 2.5 hrs,none,6,None of the above,Text message,,,,,,
2/4/2018 18:23:35,19,Instagram,less than 1 hr,less than 1 hr,4,None of the above,face to face,,,,,,
2/4/2018 18:26:29,20,Whatsapp,less than 1 hr,less than 1 hr,0,None of the above,face to face,,,,,,
2/4/2018 21:01:09,18,Youtube,1 - 2.5 hrs,less than 1 hr,6,None of the above,Text message,,,,,,
2/4/2018 22:19:46,23,Youtube,1 - 2.5 hrs,more than 4 hrs,3,None of the above,face to face,,,,,,
2/4/2018 22:27:42,19,"Whatsapp, Instagram, Snapchat",more than 4 hrs,1 - 2.5 hrs,2,Fake profiles,Text message,,,,,,
2/4/2018 22:32:50,18,"Whatsapp, Twitter, Instagram, Snapchat",1 - 2.5 hrs,1 - 2.5 hrs,3,"Hacking, Photos being misused, Fake profiles",face to face,,,,,,
2/4/2018 23:33:36,20,Whatsapp,1 - 2.5 hrs,less than 1 hr,5,Fake profiles,face to face,,,,,,
2/5/2018 19:21:49,19,"Whatsapp, Facebook, Youtube, Instagram, Hike",1 - 2.5 hrs,none,5,None of the above,"face to face, through social media",,,,,,
2/5/2018 19:25:24,18,Instagram,upto 4 hrs,1 - 2.5 hrs,10,None of the above,"through phone, through social media",,,,,,
2/5/2018 23:15:46,18,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,4,Hacking,through social media,,,,,,
2/7/2018 17:14:26,19,"Whatsapp, Youtube, Twitter",more than 4 hrs,less than 1 hr,3,None of the above,through social media,,,,,,
2/10/2018 0:13:06,18,"Whatsapp, Youtube, Twitter",1 - 2.5 hrs,less than 1 hr,5,None of the above,"face to face, through phone, Text message",,,,,,
